ISBN / ASIN (Amazon ID),Link,Acquired Date,RelationshipSubtype,RelationshipType,Format,Title,Pages,Listening Length,Genres,Subgenres,Series Position,Series,(First) Author,All Authors
B002RKSUBC,https://www.amazon.com/dp/B002RKSUBC,3-Nov-10,"Sharing, Purchase",item_owner,Kindle eBook,Great Expectations,586,,,,,,"Dickens, Charles",Charles Dickens
B000JQUXPW,https://www.amazon.com/dp/B000JQUXPW,18-Feb-12,Sharing,item_owner,Kindle eBook,Hunted Down: the detective stories of Charles Dickens,57,,"Literature & Fiction | Mystery, Thriller & Suspense",Mystery | Genre Fiction | Thrillers & Suspense,,,"Dickens, Charles",Charles Dickens
B00CH40KJ8,https://www.amazon.com/dp/B00CH40KJ8,8-May-13,Purchase,item_owner,Kindle eBook,Your Guide To Scrivener: The Ultimate Tool For Writers,61,,Computers & Technology | Reference,"Writing, Research & Publishing Guides",,,"Dionisio, Nicole",Nicole Dionisio
B09YH1L9CW,https://www.amazon.com/dp/B09YH1L9CW,3-Jan-23,Purchase,item_owner,Kindle eBook,Meru (The Alloy Era Book 1),443,,Science Fiction & Fantasy,Science Fiction,1,The Alloy Era,"Divya, S.B.",S.B. Divya
0130461091,https://www.amazon.com/dp/0130461091,17-Jan-13,Purchase,item_owner,Hardcover,Human-Computer Interaction,834,,Computers & Technology,Web Development & Design,,,"Dix, Alan","Alan Dix, Janet E. Finlay, Gregory D. Abowd, Russell Beale"
B00P9S9TS2,https://www.amazon.com/dp/B00P9S9TS2,8-Nov-14,Purchase,item_owner,Kindle eBook,Information Doesn't Want to Be Free: Laws for the Internet Age,192,,Politics & Social Sciences | Computers & Technology | Science & Math,Social Sciences,,,"Doctorow, Cory","Cory Doctorow, Neil Gaiman, Amanda Palmer"
B0086N7AHY,https://www.amazon.com/dp/B0086N7AHY,17-Sep-12,Purchase,item_owner,Kindle eBook,True Freedom: On Protecting Human Dignity and Religious Liberty,37,,Christian Books & Bibles,Catholicism | Christian Living,,,"Dolan, Timothy M.",Timothy M. Dolan
B007WKEM9Q,https://www.amazon.com/dp/B007WKEM9Q,13-Apr-13,PublicLibraryLending,item_owner,Kindle eBook,Lord Foul's Bane (The Chronicles of Thomas Covenant The Unbeliever Book 1),386,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,1,The Chronicles of Thomas Covenant The Unbeliever,"Donaldson, Stephen R.",Stephen R. Donaldson
B007WKENMM,https://www.amazon.com/dp/B007WKENMM,7-May-13,Purchase,item_owner,Kindle eBook,Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever Book 3),513,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,3,The Chronicles of Thomas Covenant The Unbeliever,"Donaldson, Stephen R.",Stephen R. Donaldson
B0010NZKLK,https://www.amazon.com/dp/B0010NZKLK,8-Mar-14,Purchase,item_owner,Kindle eBook,To Pray As A Jew: A Guide To The Prayer Book And The Synagogue Service,416,,Religion & Spirituality,Judaism,,,"Donin, Hayim H.",Hayim H. Donin
B002E9H9JA,https://www.amazon.com/dp/B002E9H9JA,31-Oct-10,Purchase,item_owner,Kindle eBook,"The Brothers Karamazov (Samizdat Edition with Active Table of Contents), improved 2/9/2011",1032,,Literature & Fiction,,,,"Dostoyevsky, Fyodor","Fyodor Dostoyevsky, Constance Garnett"
